team_name,name,position,appearances,minutes_played,avg_rating,goals,assists,shots_total,shots_on_target,passes_total,passes_key,passes_accuracy_%,dribbles_attempts,dribbles_success,tackles,interceptions,blocks,duels_won,goals_saves,goals_conceded,penalty_saved,goals_per_90,assists_per_90,tackles_per_90,dribble_success_rate_%,duel_win_rate_%
New Zealand,Tyler Grant Bindon -,Defender,15.0,1350.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,Francis de Vries -,Defender,15.0,1350.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,Nando Zen Pijnaker -,Defender,15.0,1350.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,Joe Zen Robert Bell -,Midfielder,15.0,1350.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,Marko Seufatu Nikola Stamenić -,Midfielder,15.0,1350.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,Alex Arthur Rufer -,Midfielder,15.0,1350.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,Christopher Grant Wood -,Attacker,15.0,1350.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,Konstantinos Barbarouses -,Attacker,15.0,1350.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,Benjamin Craig Old -,Attacker,15.0,1350.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norway,Christian Kjetil Haug -,Goalkeeper,15.0,1350.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norway,Julian Ryerson -,Defender,15.0,1350.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norway,Kristoffer Vassbakk Köpp Ajer -,Defender,15.0,1350.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norway,Andreas Schjølberg Hanche-Olsen -,Defender,15.0,1350.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norway,Leo Skiri Østigård -,Defender,15.0,1350.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norway,Martin Ødegaard -,Midfielder,15.0,1350.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norway,Fredrik Aursnes -,Midfielder,15.0,1350.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norway,Sander Gard Bolin Berge -,Midfielder,15.0,1350.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norway,Erling Braut Håland -,Attacker,15.0,1350.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norway,Alexander Sørloth -,Attacker,15.0,1350.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norway,Jørgen Strand Larsen -,Attacker,15.0,1350.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panama,Luis Ricardo Mejía Cajar -,Goalkeeper,15.0,1350.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panama,Michael Amir Murillo Bermúdez -,Defender,15.0,1350.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panama,Andrés Alberto Andrade Cedeño -,Defender,15.0,1350.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panama,José Ángel Córdoba Chambers -,Defender,15.0,1350.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panama,Leslie Eduardo Heráldez Sevillano -,Midfielder,15.0,1350.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panama,Victor Alfredo Griffith Mullins -,Midfielder,15.0,1350.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panama,Ismael Díaz de León -,Attacker,15.0,1350.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panama,Eduardo Antonio Guerrero Locano -,Attacker,15.0,1350.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panama,José Fajardo Nelson -,Attacker,15.0,1350.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panama,Orlando Mosquera -,Goalkeeper,15.0,1350.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panama,Azarias Emmanuel Londoño González -,Attacker,15.0,1350.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paraguay,R. Morínigo,Goalkeeper,3.0,270.0,6.33,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
Paraguay,I. Ramírez,Defender,3.0,124.0,7.14,0.0,0.0,1.0,1.0,52.0,2.0,0.0,2.0,2.0,5.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,3.63,100.0,80.0
Paraguay,F. Balbuena,Defender,6.0,459.0,6.86,0.0,0.0,4.0,1.0,119.0,3.0,0.0,0.0,0.0,11.0,9.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,2.16,0.0,70.83
Paraguay,N. Giménez,Defender,4.0,278.0,6.7,0.0,0.0,1.0,0.0,124.0,5.0,19.71,2.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,25.0
Paraguay,O. Alderete,Defender,5.0,441.0,6.44,1.0,0.0,3.0,1.0,183.0,1.0,14.69,6.0,4.0,7.0,7.0,1.0,20.0,0.0,0.0,0.0,0.2,0.0,1.43,66.67,57.14
Paraguay,J. Enciso,Midfielder,6.0,433.0,7.39,1.0,0.0,14.0,6.0,147.0,9.0,15.61,23.0,12.0,5.0,3.0,0.0,28.0,0.0,0.0,0.0,0.21,0.0,1.04,52.17,50.91
Paraguay,M. Villasanti,Midfielder,6.0,451.0,6.8,0.0,1.0,4.0,0.0,129.0,4.0,0.0,2.0,1.0,4.0,4.0,0.0,12.0,0.0,0.0,0.0,0.0,0.2,0.8,50.0,48.0
Paraguay,A. Romero,Midfielder,5.0,99.0,6.77,0.0,0.0,0.0,0.0,65.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,40.0
Paraguay,Á. Romero,Attacker,3.0,125.0,6.87,0.0,0.0,2.0,1.0,49.0,7.0,0.0,4.0,1.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.44,25.0,27.78
Paraguay,R. Sosa,Attacker,6.0,314.0,6.62,1.0,1.0,2.0,2.0,58.0,4.0,0.0,7.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.29,0.29,0.0,57.14,35.29
Paraguay,A. Arce,Attacker,5.0,262.0,6.59,0.0,0.0,4.0,0.0,38.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,1.03,50.0,42.86
Portugal,Diogo Costa,Goalkeeper,21.0,1980.0,6.12,0.0,0.0,0.0,0.0,429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,44.0,17.0,0.0,0.0,0.0,0.0,0.0,85.71
Portugal,Tomás Araújo,Defender,1.0,63.0,7.2,0.0,0.0,0.0,0.0,45.0,1.0,40.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portugal,Nélson Semedo,Defender,16.0,634.0,6.82,0.0,2.0,6.0,2.0,332.0,7.0,0.0,12.0,4.0,18.0,3.0,1.0,29.0,0.0,0.0,0.0,0.0,0.28,2.56,33.33,41.43
Portugal,Nuno Mendes,Defender,20.0,1666.0,6.69,0.0,5.0,11.0,4.0,1018.0,26.0,58.6,60.0,23.0,32.0,17.0,6.0,99.0,0.0,0.0,0.0,0.0,0.27,1.73,38.33,53.23
Portugal,Rúben Dias,Defender,19.0,1739.0,6.34,1.0,0.0,3.0,0.0,1385.0,5.0,81.66,4.0,4.0,11.0,10.0,15.0,71.0,0.0,0.0,0.0,0.05,0.0,0.57,100.0,61.74
Portugal,Renato Veiga,Midfielder,11.0,616.0,6.92,1.0,0.0,7.0,1.0,447.0,2.0,51.31,0.0,0.0,9.0,5.0,5.0,32.0,0.0,0.0,0.0,0.15,0.0,1.31,0.0,56.14
Portugal,Bruno Fernandes,Midfielder,20.0,1721.0,6.47,9.0,2.0,31.0,18.0,946.0,49.0,50.4,18.0,7.0,28.0,9.0,2.0,58.0,0.0,0.0,0.0,0.47,0.1,1.46,38.89,46.4
Portugal,Bernardo Silva,Midfielder,18.0,1472.0,6.45,3.0,1.0,8.0,5.0,815.0,28.0,47.07,19.0,10.0,26.0,3.0,3.0,49.0,0.0,0.0,0.0,0.18,0.06,1.59,52.63,48.51
Portugal,Trincão,Attacker,12.0,199.0,6.89,2.0,1.0,3.0,2.0,95.0,6.0,0.0,11.0,3.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.9,0.45,0.0,27.27,26.32
Portugal,Cristiano Ronaldo,Attacker,19.0,1596.0,6.44,13.0,2.0,68.0,34.0,357.0,16.0,0.0,20.0,6.0,4.0,0.0,1.0,38.0,0.0,0.0,0.0,0.73,0.11,0.23,30.0,39.58
Portugal,Pedro Neto,Attacker,14.0,778.0,6.53,1.0,1.0,7.0,6.0,432.0,15.0,0.0,30.0,14.0,10.0,4.0,1.0,31.0,0.0,0.0,0.0,0.12,0.12,1.16,46.67,46.97
Qatar,Meshaal Aissa Mohammed Barsham -,Goalkeeper,15.0,1350.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qatar,Lucas Mendes -,Defender,15.0,1350.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qatar,Bassam Hisham Ali Al Rawi -,Defender,15.0,1350.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qatar,Tarek Salman Suleiman Odeh -,Defender,15.0,1350.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qatar,Sultan Hussain Mohamad Hussain Al Brake -,Defender,15.0,1350.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qatar,Akram Hassan Afif Yahya Afif -,Midfielder,15.0,1350.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qatar,Ahmed Fathi Mansi Abdoulla -,Midfielder,15.0,1350.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qatar,Assim Omer Al Haj Madibo -,Midfielder,15.0,1350.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qatar,Edmilson Junior -,Attacker,15.0,1350.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qatar,Almoez Ali Zainalabedeen Mohamed Abdulla -,Attacker,15.0,1350.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qatar,Ahmed Mohamed Hussein Kassim Al Ganehi -,Attacker,15.0,1350.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,Nawaf Dhahi Faisal Al Suwaiti Al Aqidi -,Goalkeeper,15.0,1350.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,Saud Abdullah Abdul Hamid -,Defender,15.0,1350.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,Ahmed Mohammed Sharahili -,Defender,15.0,1350.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,Sultan Abdullah Salem Al Ghannam -,Defender,15.0,1350.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,Hassan Mohammed Tambakti -,Defender,15.0,1350.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,Salem Al Dawsari -,Midfielder,15.0,1350.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,Mohamed Ibrahim Abdullah Kanno -,Midfielder,15.0,1350.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,Abdulrahman Abdullah Ghareeb -,Midfielder,15.0,1350.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,Firas Tariq Nasser Al Buraikan -,Attacker,15.0,1350.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,Saleh Khalid Mohammed Al Shehri -,Attacker,15.0,1350.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,Sultan Ahmed Mohammed Mandash -,Attacker,15.0,1350.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scotland,Angus Fraser James Gunn -,Goalkeeper,15.0,1350.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scotland,Andrew Henry Robertson -,Defender,15.0,1350.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scotland,Kieran Tierney -,Defender,15.0,1350.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scotland,Scott Fraser McKenna -,Defender,15.0,1350.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scotland,Aaron Buchanan Hickey -,Defender,15.0,1350.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scotland,John McGinn -,Midfielder,15.0,1350.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scotland,Scott Francis McTominay -,Midfielder,15.0,1350.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scotland,Callum William McGregor -,Midfielder,15.0,1350.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scotland,Ché Zach Everton Fred Adams -,Attacker,15.0,1350.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scotland,Oliver Robert McBurnie -,Attacker,15.0,1350.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scotland,James Forrest -,Attacker,15.0,1350.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Senegal,M. Diaw,Goalkeeper,2.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Senegal,K. Koulibaly,Defender,2.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Senegal,A. Seck,Defender,2.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
